0,1,2
"Table 7: Risk of malignancy in different subtypes of DSD (Adapted from Looijenga et al., [1250])",,
Risk,DSD,Malignancy risk (%)
High,"Gonadal dysgenesis, with Y, abdominal 
gonad
PAIS non-scrotal gonad
Frasier syndrome
Denys-Drash with Y","15-35
50
60
40"
Intermediate,"Turner syndrome with Y
17β- hydroxysteroid dehydrogenase 
deficiency
Gonadal dysgenesis with Y
PAIS scrotal gonad","12
28
Unknown
Unknown"
Low,"Complete androgen insensitivity syndrome 
Ovotesticular DSD
Turner syndrome without Y",2 3 1
No,"5-Alpha Reductase Deficiency 
Leydig cell hyperplasia",0 0
Recommendations,Strength rating,
"Do not delay diagnosis and treatment of any neonate presenting with ambiguous genitalia 
since salt-loss in a 46XX CAH girl can be fatal.",Strong,
"Refer children to experienced centres where neonatology, endocrinology, (paediatric) 
urology, psychology and transition to adult care are guaranteed.",Strong,
"Utilise a multi-disciplinary approach and a shared decision model in patients with DSD 
conditions including:
a. Gender assigment
b. Genital surgery (in accordance with national regulations)
c. Gonadectomy",Strong,
"Do not underestimate the significant effects on psychological and psychiatric health, quality 
of life, personal relationships, and sexual function in individuals with DSD.",Strong,
"Ensure full disclosure to patients and caregivers that the presence of a Y-chromosome in 
dysgenetic gonads results in a higher malignancy risk",Strong,
