0,1,2,3,4,5
Table 9.2: Outcome of case series of other autologous grafts,,,,,
Study,Type of graft,N,"Follow-up 
(months)","Stricture 
length (cm)","Urethral 
patency (%)"
Bastian et al. 2012 [302],Inguinal skin,34,70 (3-86),8 (1.5-14),91
Manoj et al. 2009 [528],Postauricular skin,35,22 (3-48),8.9 (3-15),89
Meeks et al. 2010 [360],Abdominal wall skin,21,28 (11-52),11 (4-24),81
Pfalzgraf et al. 2010 [351],Split thickness skin graft,57/68,32,NR,84
Xu et al. 2009 [529],Colonic mucosa,35,53.6 (26-94),15.1 (10-20),85.7
Recommendations,Strength rating,,,,
Use buccal or lingual mucosa if a graft is needed and these grafts are available.,Weak,,,,
"Inform the patient about the potential complications of the different types of oral grafting 
(buccal versus lingual versus lower lip) when an oral graft is proposed.",Strong,,,,
"Use penile skin if buccal/lingual mucosa is not available, suitable, or accepted by the 
patient for reconstruction.",Weak,,,,
Do not use genital skin graft in case of lichen sclerosus.,Strong,,,,
