0,1,2
Table 4.3: Normal values for spot urine samples: creatinine ratios (solute/creatinine) in children [595],,
Oxalate,> 0.5 mmol/day (suspicious of enteric hyperoxaluria),
,>1.0 mmol/day (suspicious of primary hyperoxaluria),
Uric acid,"> 4.0 mmol/day (females), 5 mmol/day (males)",
Citrate,"< male < 1.7 mmol/day, female < 1.9 mmol/day",
Magnesium,< 3.0 mmol/day,
Inorganic phosphate,> 35 mmol/day,
Ammonium,> 50 mmol/day,
Cystine,> 0.8 mmol/day,
Parameter/Patient age,Ratio of solute to creatinine,Units
Calcium,mol/mol,mg/mg
< 12 months,< 2.0,0.81
1-3 years,< 1.5,0.53
1-5 years,< 1.1,0.39
5-7 years,< 0.8,0.28
> 7 years,< 0.6,0.21
Oxalate,mol/mol,mg/mg
0-6 months,< 325-360,288-260
7-24 months,< 132-174,110-139
2-5 years,< 98-101,80
5-14 years,< 70-82,60-65
> 16 years,< 40,32
Citrate,mol/mol,g/g
0-5 years,> 0.25,0.42
> 5 years,> 0.15,0.25
Magnesium*,mol/mol,g/g
All age groups,> 0.63,> 0.13
Uric acid,,
> 2 years,< 0.56 mg/dL (33 μmol/L) per GFR (ratio x plasma creatinine),
